id,created_on,updated_on,provider,source,foreign_identifier,foreign_landing_url,url,thumbnail,width,height,filesize,license,license_version,creator,creator_url,title,tags_list,last_synced_with_source,removed_from_source,meta_data,view_count,tags,watermarked,identifier
62435200,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364258278,www.flickr.com/photos/62363710@N00/2364258278,https://farm4.staticflickr.com/3026/2364258278_a5a690cde7.jpg,https://farm4.staticflickr.com/3026/2364258278_a5a690cde7_t.jpg,500,333,,by-nc-nd,2.0,Barka Fabianova,www.flickr.com/photos/62363710@N00,Finalborgo,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206544852"", ""date_taken"": ""2008-03-22 12:58:07""}",0,"[{""name"": ""town"", ""provider"": ""flickr""}, {""name"": ""italy"", ""provider"": ""flickr""}, {""name"": ""finalborgo"", ""provider"": ""flickr""}, {""name"": ""liguria"", ""provider"": ""flickr""}, {""name"": ""italia"", ""provider"": ""flickr""}, {""name"": ""historical"", ""provider"": ""flickr""}, {""name"": ""easter"", ""provider"": ""flickr""}, {""name"": ""sightseeing"", ""provider"": ""flickr""}]",f,d7fd670c-aae1-4ac8-8938-bcc1052db47b
62435201,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363487663,www.flickr.com/photos/7604548@N07/2363487663,https://farm3.staticflickr.com/2052/2363487663_aae0454539_b.jpg,https://farm3.staticflickr.com/2052/2363487663_aae0454539_t.jpg,1024,768,,by-nc,2.0,sgrace,www.flickr.com/photos/7604548@N07,UCSC Arboretum 3.2.08,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206546524"", ""date_taken"": ""2008-03-02 10:13:24""}",0,"[{""name"": ""universityofcalifrornia"", ""provider"": ""flickr""}, {""name"": ""garden"", ""provider"": ""flickr""}, {""name"": ""west"", ""provider"": ""flickr""}, {""name"": ""pacific"", ""provider"": ""flickr""}, {""name"": ""coast"", ""provider"": ""flickr""}, {""name"": ""santacruz"", ""provider"": ""flickr""}, {""name"": ""ucsc"", ""provider"": ""flickr""}, {""name"": ""hike"", ""provider"": ""flickr""}, {""name"": ""arboretum"", ""provider"": ""flickr""}, {""name"": ""spring"", ""provider"": ""flickr""}, {""name"": ""walk"", ""provider"": ""flickr""}, {""name"": ""ucscarboretum"", ""provider"": ""flickr""}]",f,f263dcf1-03ff-4ac9-8a18-242a72cb15e0
62435202,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364314894,www.flickr.com/photos/70928835@N00/2364314894,https://farm4.staticflickr.com/3101/2364314894_267997682d.jpg,https://farm4.staticflickr.com/3101/2364314894_267997682d_t.jpg,500,406,,by-nc,2.0,3dom,www.flickr.com/photos/70928835@N00,bridge,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206546416"", ""date_taken"": ""2008-03-24 10:42:44""}",0,"[{""name"": ""philippines"", ""provider"": ""flickr""}, {""name"": ""mindanao"", ""provider"": ""flickr""}, {""name"": ""generalluna"", ""provider"": ""flickr""}, {""name"": ""siargao"", ""provider"": ""flickr""}]",f,ffbc69cc-4f57-4596-946a-e78676077e54
62435203,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363547313,www.flickr.com/photos/80012486@N00/2363547313,https://farm4.staticflickr.com/3213/2363547313_f5ede9e966_b.jpg,https://farm4.staticflickr.com/3213/2363547313_f5ede9e966_t.jpg,1024,768,,by-nc-sa,2.0,benjibot,www.flickr.com/photos/80012486@N00,Goldman,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206548187"", ""date_taken"": ""2008-03-26 10:08:18"", ""description"": ""<a href=\""http://sorrytown.us/project/dragon-warrior-monsters-cross-stitch-18-goldman\"">sorrytown.us/project/dragon-warrior-monsters-cross-stitch...</a>""}",0,"[{""name"": ""crossstitch"", ""provider"": ""flickr""}, {""name"": ""videogames"", ""provider"": ""flickr""}, {""name"": ""dragonwarrior"", ""provider"": ""flickr""}, {""name"": ""nes"", ""provider"": ""flickr""}, {""name"": ""crafts"", ""provider"": ""flickr""}]",f,43500302-79d6-4939-90ea-5b7758942cf6
62435204,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363537633,www.flickr.com/photos/57041730@N00/2363537633,https://farm4.staticflickr.com/3281/2363537633_6e529ceae8_b.jpg,https://farm4.staticflickr.com/3281/2363537633_6e529ceae8_t.jpg,687,1024,,by-nc-nd,2.0,digablesoul,www.flickr.com/photos/57041730@N00,Pier Pressure,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206547922"", ""date_taken"": ""2008-03-22 06:09:02""}",0,"[{""name"": ""bicycle"", ""provider"": ""flickr""}, {""name"": ""beach"", ""provider"": ""flickr""}, {""name"": ""ride"", ""provider"": ""flickr""}, {""name"": ""midnight"", ""provider"": ""flickr""}, {""name"": ""midng"", ""provider"": ""flickr""}, {""name"": ""ridazz"", ""provider"": ""flickr""}, {""name"": ""pressure"", ""provider"": ""flickr""}, {""name"": ""bike"", ""provider"": ""flickr""}, {""name"": ""social"", ""provider"": ""flickr""}, {""name"": ""pier"", ""provider"": ""flickr""}]",f,3d92aad3-cf39-4ff8-a0a1-678db5dab897
62435205,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364466734,www.flickr.com/photos/68691057@N00/2364466734,https://farm3.staticflickr.com/2096/2364466734_9c44ec6773.jpg,https://farm3.staticflickr.com/2096/2364466734_9c44ec6773_t.jpg,500,333,,by-nc-nd,2.0,Markus Ortner,www.flickr.com/photos/68691057@N00,Botanischer Garten  15,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206550666"", ""date_taken"": ""2008-03-26 17:57:46"", ""description"": ""Photos taken with my 28-105 reverse mount on my 30D. Thanks to my selfmade reverse adapter, aperture  closes automaticaly, so its easy to use. I used my ringflash to iluminate the scenes, sometimes on lens, sometimes handheld.""}",0,"[{""name"": ""macro"", ""provider"": ""flickr""}, {""name"": ""flowers"", ""provider"": ""flickr""}, {""name"": ""botanischergarten"", ""provider"": ""flickr""}, {""name"": ""reverse"", ""provider"": ""flickr""}, {""name"": ""nature"", ""provider"": ""flickr""}]",f,773a07a0-29c9-48ae-af5f-7e419937bf76
62435206,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364485244,www.flickr.com/photos/44279418@N00/2364485244,https://farm3.staticflickr.com/2249/2364485244_5e5b8aa098_b.jpg,https://farm3.staticflickr.com/2249/2364485244_5e5b8aa098_t.jpg,1024,768,,by-sa,2.0,KidMoxie,www.flickr.com/photos/44279418@N00,Disneyland 011,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206551215"", ""date_taken"": ""2008-03-25 15:26:03""}",0,"[{""name"": ""2008"", ""provider"": ""flickr""}, {""name"": ""march"", ""provider"": ""flickr""}, {""name"": ""disneyland"", ""provider"": ""flickr""}, {""name"": ""jj"", ""provider"": ""flickr""}]",f,6db3142b-e76b-42f3-9939-8cbc3c9300d5
62435207,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363650567,www.flickr.com/photos/57041730@N00/2363650567,https://farm3.staticflickr.com/2201/2363650567_01ac00636e_b.jpg,https://farm3.staticflickr.com/2201/2363650567_01ac00636e_t.jpg,1024,687,,by-nc-nd,2.0,digablesoul,www.flickr.com/photos/57041730@N00,C.R.A.N.K Mob,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206551132"", ""date_taken"": ""2008-03-22 09:59:23""}",0,"[{""name"": ""bicycle"", ""provider"": ""flickr""}, {""name"": ""la"", ""provider"": ""flickr""}, {""name"": ""ride"", ""provider"": ""flickr""}, {""name"": ""midnight"", ""provider"": ""flickr""}, {""name"": ""ridazz"", ""provider"": ""flickr""}, {""name"": ""crank"", ""provider"": ""flickr""}, {""name"": ""crankmob"", ""provider"": ""flickr""}, {""name"": ""social"", ""provider"": ""flickr""}, {""name"": ""mob"", ""provider"": ""flickr""}, {""name"": ""westside"", ""provider"": ""flickr""}]",f,587ec2f8-dc40-4110-b29e-b7fda0015a15
62435208,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363689363,www.flickr.com/photos/19207364@N00/2363689363,https://farm4.staticflickr.com/3133/2363689363_a38c5a365d_b.jpg,https://farm4.staticflickr.com/3133/2363689363_a38c5a365d_t.jpg,1024,768,,by-nc-sa,2.0,antidoto1979,www.flickr.com/photos/19207364@N00,CIMG2609,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206552317"", ""date_taken"": ""2006-09-09 19:51:33""}",0,"[{""name"": ""inverness"", ""provider"": ""flickr""}, {""name"": ""edinburgh"", ""provider"": ""flickr""}, {""name"": ""lochness"", ""provider"": ""flickr""}, {""name"": ""scotland"", ""provider"": ""flickr""}]",f,7f362a96-ac29-4ff5-8544-793e9794a9d7
62435469,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2371549611,www.flickr.com/photos/10831255@N02/2371549611,https://farm3.staticflickr.com/2041/2371549611_fd3de26ef2_b.jpg,https://farm3.staticflickr.com/2041/2371549611_fd3de26ef2_t.jpg,1024,768,,by-nc,2.0,Kristoffer Larsson,www.flickr.com/photos/10831255@N02,IMG_1841,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206829107"", ""date_taken"": ""2006-03-11 13:24:49""}",0,{},f,67445f37-ea6e-4f11-b08c-26b0e225f45e
62435209,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364521012,www.flickr.com/photos/12895729@N00/2364521012,https://farm3.staticflickr.com/2297/2364521012_5558b5de43_b.jpg,https://farm3.staticflickr.com/2297/2364521012_5558b5de43_t.jpg,1024,768,,by-nc-nd,2.0,DiscoveryEducation,www.flickr.com/photos/12895729@N00,P5070094,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206552302"", ""date_taken"": ""2007-05-07 20:54:37""}",0,"[{""name"": ""americasarmy"", ""provider"": ""flickr""}, {""name"": ""motioncapturestudio"", ""provider"": ""flickr""}, {""name"": ""discovereducation"", ""provider"": ""flickr""}]",f,939f71f3-b068-46ba-9a0f-30e6dc2965a8
62435210,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2363685187,www.flickr.com/photos/78175766@N00/2363685187,https://farm3.staticflickr.com/2186/2363685187_59470fce52_b.jpg,https://farm3.staticflickr.com/2186/2363685187_59470fce52_t.jpg,1024,681,,by-nc-sa,2.0,DJypsy,www.flickr.com/photos/78175766@N00,DSC_4018,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206552194"", ""date_taken"": ""2007-05-20 12:18:38""}",0,{},f,c89f0689-a498-4317-9b04-7969e00e0fa7
62435211,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364502598,www.flickr.com/photos/46581799@N00/2364502598,https://farm3.staticflickr.com/2070/2364502598_cfcd68f888.jpg,https://farm3.staticflickr.com/2070/2364502598_cfcd68f888_t.jpg,335,500,,by-nc-nd,2.0,Yono Alban Timore \uf8ff,www.flickr.com/photos/46581799@N00,"Dapur Menado, Kenangan Indah",,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206551746"", ""date_taken"": ""2007-03-24 22:10:50"", ""description"": ""Photo by Toby""}",0,{},f,9123bb2b-b17f-43ee-8f93-599967e9af22
62435212,2018-11-08 01:45:17.652714+00,2018-11-08 01:45:17.652714+00,flickr,flickr,2364590218,www.flickr.com/photos/21082282@N05/2364590218,https://farm3.staticflickr.com/2195/2364590218_227c7f9913_b.jpg,https://farm3.staticflickr.com/2195/2364590218_227c7f9913_t.jpg,1024,576,,by-nc-nd,2.0,Lukas Weiss,www.flickr.com/photos/21082282@N05,DSC00502,,2018-11-08 01:45:17.652714+00,f,"{""pub_date"": ""1206554394"", ""date_taken"": ""2008-03-08 23:02:27""}",0,{},f,4bc1fc48-6bd3-4e31-a515-abcc7c6f30e4
