identifier,created_on,updated_on,ingestion_type,provider,source,foreign_identifier,foreign_landing_url,url,thumbnail,duration,bit_rate,sample_rate,category,genres,audio_set,alt_files,filesize,license,license_version,creator,creator_url,title,meta_data,tags,last_synced_with_source,removed_from_source,view_count,standardized_popularity
ea609784-944d-412e-84d5-8dea096366e9,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,242,https://www.jamendo.com/track/242,https://mp3d.jamendo.com/download/track/242/mp32,https://usercontent.jamendo.com?type=album&id=33&width=200&trackid=242,248000,,,music,"{rock}","{""set_url"": ""https://www.jamendo.com/album/33/simple-exercice"", ""audio_set"": ""Simple Exercice"", ""set_position"": ""2"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=33&width=200&trackid=242""}",,,by-nc-sa,2.0,Both,https://www.jamendo.com/artist/5/both,Réveille le Hippie,"{""lyrics"": ""Il est commun à tous les hommes, ce langage est universel, Depuis qu’ils croquèrent la pomme, commença la querelle, J’aimerais qu’on éradique ce reflexe typique, qui consiste à parler des poings. Systématique Est la violence, renversons son empire, c’est le point névralgique de notre avenir, Viens ! Toi ! Quoi ! Tiens ! Ne me cherche pas... Ou ma réponse sera à la hauteur de mon riche vocabulaire voila, Quelques termes clairs, la réponse cinglante que tu n’a pas vue venir, Nous les humains acariâtres, tous adeptes des jeux de mains, Nos humeurs opiniâtres n’embelliront pas nos lendemains c’est pourquoi : Ne donnons même pas sa chance, à la violence oublie-la Entre dans la danse et réveille le hippie qui sommeille en toi. Au long de notre vie tragique, on se surprend quelque fois À atteindre des pics sur l’échelle d'une valeur qui n’existe pas. Nous qui sommes plus aptes, à parler avec nos poings, Plus qu’à mettre des virgules, oh ! Quel mauvais calcul... Démago no ! Moi j’ai des bas des hauts, et j’emmagasine des magasines porno. Exutoire à ma douce violence, j’ai trouvé la parade quand des pâles instincts me tentent. Danse, chante, joue mais esquive les coups bas ! La violence est la réponse que donnent les faibles d’esprit je crois... Des êtres irrationnels, qui pour se faire comprendre utilisent la gestuelle. Nous les humains belliqueux Restons sourds à la tolérance. Nous sommes inaptes à vivre en bonne intelligence c’est pourquoi : Ne donnons même pas sa chance, à la violence oublie la Entre dans la danse et réveille le hippie qui sommeille en toi Au long de notre vie tragique, on se surprend quelque fois À atteindre des pics sur l’échelle d'une valeur qui n’existe pas. Démago yo toi t’as des bas des hauts Sous un amas de magazine porno Astique toi, fais reluire leur jolie peau de cire Je serais la mèche attisant l’imago Ho moi j’suis pas démago mais j’ai des bas des hauts, Des bas des hauts... Plutôt que de jouer des poings je préfère ravaler mon ego, Ravale ton ego... Détient pas la science infuse et je suis même un peu louche Mais les mots de nos bouches j’espère feront mouche Touché... coulé Ne donnons même pas sa chance, à la violence oublie la Entre dans la danse et réveille le hippie qui sommeille en toi Au long de notre vie tragique, on se surprend quelque fois À atteindre des pics sur l’échelle d'une valeur qui n’existe pas."", ""listens"": ""21836"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-28""}","[{""name"": ""male"", ""provider"": ""jamendo""}, {""name"": ""speed_medium"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.6972243404568625
08142011-0752-4425-8a36-d7a26767f3bb,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,276,https://www.jamendo.com/track/276,https://mp3d.jamendo.com/download/track/276/mp32,https://usercontent.jamendo.com?type=album&id=35&width=200&trackid=276,238000,,,music,,"{""set_url"": ""https://www.jamendo.com/album/35/the-wired-cd-rip-sample-mash-share"", ""audio_set"": ""The WIRED CD : Rip. Sample. Mash. Share."", ""set_position"": ""6"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=35&width=200&trackid=276""}",,,sampling+,1.0,Various Artists,https://www.jamendo.com/artist/15/va,Gilberto Gil - Oslodum,"{""listens"": ""0"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/sampling+/1.0/"", ""release_date"": ""2005-01-09""}",,2021-06-27 17:22:19.699862,false,0,0
2a362316-ab88-4a78-a4f4-005afe8025a7,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,168,https://www.jamendo.com/track/168,https://mp3d.jamendo.com/download/track/168/mp32,https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=168,183000,,,music,"{hardcore,metal,rock}","{""set_url"": ""https://www.jamendo.com/album/24/premiers-jets"", ""audio_set"": ""Premiers Jets"", ""set_position"": ""1"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=168""}",,,by-nc-sa,2.0,TriFace,https://www.jamendo.com/artist/7/triface,J'm'e FPM,"{""lyrics"": ""Moi j’m’en fous pas mal de vos désaccords majeurs Je reste dans mon idéal, je m’enivre de vos valeurs … bidons Bannir ce que l’on exècre Autant que faire ce peu Pas la peine de créer une secte Pour exiger ce que l’on veut J’essaye de garder la gniak Fidèle à mes pensées Avec des petits riffs hardcore Pouvoir les exprimer Moi j’m’en fous pas mal de vos désaccords majeurs Je reste dans mon idéal, je m’enivre de vos valeurs … bidons Lutter contre l’appel des sens Comme perforer sa tête Avec condescendance On peut repartir bille en tête Se battre pour un idéal Quel principe démodé C’est pourtant parfois crucial Pour savoir exister Moi j’m’en fous pas mal de vos désaccords majeurs Je reste dans mon idéal, je m’enivre de vos valeurs … bidons"", ""listens"": ""552266"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-17""}","[{""name"": ""male"", ""provider"": ""jamendo""}, {""name"": ""speed_medium"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.9831197215751994
c289a688-c528-4673-b640-e407e13256fb,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,169,https://www.jamendo.com/track/169,https://mp3d.jamendo.com/download/track/169/mp32,https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=169,101000,,,music,"{alternativerock,hardcore,metal}","{""set_url"": ""https://www.jamendo.com/album/24/premiers-jets"", ""audio_set"": ""Premiers Jets"", ""set_position"": ""2"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=169""}",,,by-nc-sa,2.0,TriFace,https://www.jamendo.com/artist/7/triface,Trio HxC,"{""lyrics"": ""* * Triface * trio hardcore Speed, grind, lourd pour une musique tricolore Ca fait l’effet d’un trident qui te rentre dans les tripes Et te triture l’estomac pour ressortir par la bite * * Triface * sont pas des trimards Dans les soirées du Pils, ils ne sont pas tricards Tri-citron * tri-picon * tri-baron Ils tanguent à tribord commencent à draguer des tritons. * * Triface * sont pas tristes Faut les voir dans leurs soirées quand ils font du triolisme : Triple bouteilles anales ça mérite pas l’tribunal, Le KK ils avalent à la sortie des trous de bal * * Triface * z’ont la classe cent pour cent pur jus ils se la jouent en triplette courant triphasé complètement à la masse triplets trisomiques, tribu adepte de trinquette"", ""listens"": ""166243"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-17""}","[{""name"": ""male"", ""provider"": ""jamendo""}, {""name"": ""speed_medium"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.9460381551035656
aa2ea571-fa7d-4fb6-88ef-c0c1c303ce67,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,170,https://www.jamendo.com/track/170,https://mp3d.jamendo.com/download/track/170/mp32,https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=170,207000,,,music,"{electronic,hardcore,metal}","{""set_url"": ""https://www.jamendo.com/album/24/premiers-jets"", ""audio_set"": ""Premiers Jets"", ""set_position"": ""3"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=170""}",,,by-nc-sa,2.0,TriFace,https://www.jamendo.com/artist/7/triface,Un Poil De Relifion,"{""lyrics"": ""Je veux casser du sucre sur le dos de la violence Et prendre les devants de nos humeurs belliqueuses J’aimerais qu’on tue les dieux le jour de leur naissance Pour enfin libérer les fanatiques les âmes pieuses Le plus beau réceptacle pour ma pisse à mon avis, Serait une burka, le St graal, un symbole sémite, J’aimerais lâcher mon foutre sur un troupeau de brebis Et vomir ma haine des curés sodomites Fusil à canon scié, c’est ton bâton de pèlerin Kalachnikov parées, prêchent la parole des saints Les m 16 justiciers , faucherons les agnostiques en vrac Les peuples libérés, au son des tac tac tac ! Moi j’aime mon prochain à condition qu’il m’aime aussi Et la loi du talion, je ne la fais pas mienne J’exècre religion coran et autres crucifix Parce qu’ils méprisent l’amour et incitent à la haine Derrière nos apparences, nos propos suintant de blasphème, Notre musique primaire inspirée du cri primal, Sommeillent des agneaux une sorte de hippie moderne Nous glorifions Jésus lors de nos fêtes bacchanales. Jésus aussi était barbu, fait table rase des préjugés Les poils empêchent ils de penser ? Ho belle réflexion de peigne cul Les extrêmes toujours à l’affût, un poil de fascistes dans le monde Pour mettre la vérité à nue, coup d’rasoir pour tout le monde ! Tous dans les mêmes extrêmes, Du ramadan au carême, Du lundi d'pâques au sabbat Prêchent l'amour nourissent la haine"", ""listens"": ""90273"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-17""}","[{""name"": ""male"", ""provider"": ""jamendo""}, {""name"": ""speed_high"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.904942851431412
deeab14b-f63d-4b41-ac6f-4e3578aff4dd,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,171,https://www.jamendo.com/track/171,https://mp3d.jamendo.com/download/track/171/mp32,https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=171,145000,,,music,"{hardcore,metal,rock}","{""set_url"": ""https://www.jamendo.com/album/24/premiers-jets"", ""audio_set"": ""Premiers Jets"", ""set_position"": ""4"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=171""}",,,by-nc-sa,2.0,TriFace,https://www.jamendo.com/artist/7/triface,Apologies,"{""lyrics"": ""This song is about my life It has sometimes a smell of shit It makes me sometimes bad surprise When you sundenly take reality, Reality in front of you... Inertia inertia inertia APOLOGIZE In a state of war Starving people are not glad To give their money for the troops Society’s dark raving mad You understand that when you take, Reality in front of you We always choose the bad way The self-destruction is the price which we will pay Inertia inertia inertia APOLOGIZE In a state of war This song is about my life It has sometimes a smell of shit It makes me sometimes bad surprise I think we always choose the bad way The self-destruction, the price, The price which we will pay..."", ""listens"": ""121048"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-17""}","[{""name"": ""male"", ""provider"": ""jamendo""}, {""name"": ""speed_high"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.9273543522404956
3f540987-16e3-44f5-9e58-698e55fd58b5,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,172,https://www.jamendo.com/track/172,https://mp3d.jamendo.com/download/track/172/mp32,https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=172,177000,,,music,"{hardcore,metal,rock}","{""set_url"": ""https://www.jamendo.com/album/24/premiers-jets"", ""audio_set"": ""Premiers Jets"", ""set_position"": ""5"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=24&width=200&trackid=172""}",,,by-nc-sa,2.0,TriFace,https://www.jamendo.com/artist/7/triface,Je Vomis Comme Je Chante,"{""lyrics"": ""Je dégueule comme je chante Clair ! Je vomis comme je chante Je dégueule mes tripes C’est parce que j’y mets du cœur Je ne me ferme pas comme une huître Oui j’ai la haine Et je dégueule comme je chante La la la la la ! Je dégueule comme je chante ! C’est clair ! Le portrait de triface Manque parfois de nuances C’est comme lâcher une caisse A la gueule de la bienséance Oui j’ai la haine Et je dégueule comme je chante La la la la la ! Je dégueule comme je chante ! Y’a pas à dire, la poésie nous fait cruellement défaut Mais y’a pire, au moins on expulse nos nombreux mots On dégueule comme on chante C’est parce qu’on y met nos tripes… Gna gna gna gna gna, cette musique nous rend vraiment hystériques Elle nous donne la trique ! Oh oui ! Bien plus que la gueule à Derrick En plus elle nous implique, Rien de rédhibitoire, tragique, pathétique Un peu crade, un peu comique, comme le sont nos histoires"", ""listens"": ""59726"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-17""}","[{""name"": ""instrumental"", ""provider"": ""jamendo""}, {""name"": ""speed_medium"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.8629868496205836
5a1188f7-853b-4f91-9a4c-fea9d4b58ff9,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,174,https://www.jamendo.com/track/174,https://mp3d.jamendo.com/download/track/174/mp32,https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=174,183000,,,music,"{rock}","{""set_url"": ""https://www.jamendo.com/album/25/mind-asylum"", ""audio_set"": ""Mind Asylum"", ""set_position"": ""1"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=174""}",,,by-nc-sa,2.0,Skaut,https://www.jamendo.com/artist/9/skaut,Mind Asylum,"{""listens"": ""112954"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-18""}","[{""name"": ""speed_high"", ""provider"": ""jamendo""}, {""name"": ""vocal"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.9225519116756828
6bd49cab-958e-4946-801c-15b0d6370d0e,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,175,https://www.jamendo.com/track/175,https://mp3d.jamendo.com/download/track/175/mp32,https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=175,322000,,,music,,"{""set_url"": ""https://www.jamendo.com/album/25/mind-asylum"", ""audio_set"": ""Mind Asylum"", ""set_position"": ""2"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=175""}",,,by-nc-sa,2.0,Skaut,https://www.jamendo.com/artist/9/skaut,You Don't Know,"{""listens"": ""97249"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-18""}","[{""name"": ""instrumental"", ""provider"": ""jamendo""}, {""name"": ""speed_medium"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.9111558143444102
8d391217-59de-458c-939a-bb2ba9aaa509,2021-06-27 17:21:13.282294,2021-06-27 17:22:19.699862,commoncrawl,jamendo,jamendo,176,https://www.jamendo.com/track/176,https://mp3d.jamendo.com/download/track/176/mp32,https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=176,292000,,,music,,"{""set_url"": ""https://www.jamendo.com/album/25/mind-asylum"", ""audio_set"": ""Mind Asylum"", ""set_position"": ""3"", ""set_thumbnail"": ""https://usercontent.jamendo.com?type=album&id=25&width=200&trackid=176""}",,,by-nc-sa,2.0,Skaut,https://www.jamendo.com/artist/9/skaut,Overcome,"{""listens"": ""69873"", ""downloads"": ""0"", ""playlists"": ""0"", ""license_url"": ""https://creativecommons.org/licenses/by-nc-sa/2.0/"", ""release_date"": ""2004-12-18""}","[{""name"": ""instrumental"", ""provider"": ""jamendo""}, {""name"": ""speed_high"", ""provider"": ""jamendo""}]",2021-06-27 17:22:19.699862,false,0,0.880506403428208
